,S1,S2,S3,S4,S5,S6
E1,9.1,9.1,8.5,8.7,8.7,8.6
E2,9.1,8.3,7.9,8.6,8.1,8.3
E3,8.3,8.7,7.8,8.3,8.4,7.5
E4,9.0,8.2,8.2,8.0,8.2,8.2
E5,8.3,7.7,8.0,9.7,8.6,7.9
E6,8.0,8.2,8.5,7.7,8.5,7.9
E7,8.3,8.7,8.6,8.3,8.8,8.4
E8,8.6,8.6,9.1,8.3,8.9,7.7
E9,8.4,8.2,7.1,9.0,8.4,9.2
E10,8.5,8.6,8.2,7.9,8.4,7.7
E11,8.8,8.3,8.5,8.5,8.1,8.8
E12,7.8,7.1,8.1,8.9,8.7,8.3
E13,8.0,8.6,9.1,9.2,8.1,8.1
E14,8.0,8.5,7.9,9.2,8.7,8.9
E15,8.2,8.3,8.0,,8.5,8.2
E16,8.5,8.1,8.6,,9.1,8.6
E17,8.3,9.0,8.3,,9.2,8.3
E18,9.0,8.2,8.1,,,9.1
E19,9.0,7.7,9.0,,,
E20,8.9,8.9,9.2,,,
E21,8.2,8.7,9.1,,,
E22,7.9,8.4,9.7,,,
E23,9.0,9.3,9.7,,,
E24,9.2,9.4,,,,
E25,9.3,,,,,